fact_id,raw_name,metric_core,evidence,nearest_canonical_1,score_1,nearest_canonical_2,score_2,nearest_canonical_3,score_3,unit_compatible,role_compatible,denominator_compatible,block_reasons,why_not_top_candidate,recommended_action,review_status,fact_metric_subject_draft,fact_metric_role_draft,fact_flow_direction_draft,fact_denominator_type_draft,fact_unit_family,top_canonical_metric_subject,top_canonical_metric_role,top_canonical_flow_direction,top_canonical_denominator_type,top_canonical_unit_family,definition_score_1,metric_core_score_1,alias_score_1,definition_drifted_1
nestle_india_p213_1_fact_20,Water discharge into Surface water,water_discharge_surface_water,"Water discharge by destination and level of treatment [in kiloliters] (i) Into Surface water - No treatment - With treatment - please specify level of treatment 403,234 426,193 0 0 0 0",water_discharged_surface_treated,0.821,water_discharged_total,0.665,water_withdrawal,0.600,true,false,true,role_mismatch,Nearest canonical water_discharged_surface_treated is not alias-eligible because: role_mismatch.,standard_mapping_candidate,pending,water,withdrawal,input,,volume,water,discharge,output,,volume,0.807,0.873,0.818,false
nestle_india_p213_1_fact_23,Total Scope 3 emissions,scope_3_emissions,"Total Scope 3 emissions [Break-up of the GHG into CO2, CH4, N2O, HFCs, PFCs, SF6, NF3, if available) Metric ton of CO2 equivalent Total Scope 3 emissions per rupee of turnover Total Scope 3 emission intensity (optional) – the relevant metric may be selected by the entity Note: Indicate if any independent assessment/ evaluation/assurance has been carried out by an external agency? (Y/N) If yes, name of the external agency. 211",scope_3_emissions,0.985,scope_3_emissions_absolute,0.762,scope_2_emissions,0.755,true,false,false,canonical_untyped;denominator_mismatch,"Nearest canonical scope_3_emissions is not alias-eligible because: canonical_untyped, denominator_mismatch.",standard_mapping_candidate,pending,emissions,generation,output,revenue,weight,,,unknown,,weight,1.000,1.000,0.850,false
nestle_india_p229_1_fact_11,Water discharge sent to third-parties - with treatment,water_discharge_sent_to_third_parties_with_treatment,"Water discharge by destination and level of treatment (in kilolitres) (iv) Sent to third-parties - No treatment 0 0 - With treatment – please specify level of Treatment 123,975 71,757",water_discharged_surface_treated,0.695,water_discharged_total,0.641,water_withdrawal,0.578,true,false,true,fact_untyped,Nearest canonical water_discharged_surface_treated is not alias-eligible because: fact_untyped.,standard_mapping_candidate,pending,water,,unknown,,volume,water,discharge,output,,volume,0.719,0.595,0.727,false
nestle_india_p229_1_fact_12,Water discharge sent to third-parties - with treatment,water_discharge_sent_to_third_parties_with_treatment,"Water discharge by destination and level of treatment (in kilolitres) (iv) Sent to third-parties - No treatment 0 0 - With treatment – please specify level of Treatment 123,975 71,757",water_discharged_surface_treated,0.695,water_discharged_total,0.641,water_withdrawal,0.578,true,false,true,fact_untyped,Nearest canonical water_discharged_surface_treated is not alias-eligible because: fact_untyped.,standard_mapping_candidate,pending,water,,unknown,,volume,water,discharge,output,,volume,0.719,0.595,0.727,false
nestle_india_p229_1_fact_17,Total fuel consumption from renewable sources (B),total_fuel_consumption_from_renewable_sources,"Total fuel consumption (B) 724,991 570,184",renewable_energy_consumption_absolute,0.628,non_renewable_energy_consumption_absolute,0.586,absolute_energy_consumption,0.485,true,true,true,,Nearest canonical renewable_energy_consumption_absolute passed the semantic gate; alias requires human approval.,standard_mapping_candidate,pending,energy,consumption,consumed,,energy,energy,consumption,consumed,,energy,0.635,0.541,0.756,false
nestle_india_p229_1_fact_18,Total fuel consumption from renewable sources (B),total_fuel_consumption_from_renewable_sources,"Total fuel consumption (B) 724,991 570,184",renewable_energy_consumption_absolute,0.628,non_renewable_energy_consumption_absolute,0.586,absolute_energy_consumption,0.485,true,true,true,,Nearest canonical renewable_energy_consumption_absolute passed the semantic gate; alias requires human approval.,standard_mapping_candidate,pending,energy,consumption,consumed,,energy,energy,consumption,consumed,,energy,0.635,0.541,0.756,false
nestle_india_p229_1_fact_19,Energy consumption through other sources (C) from renewable sources,energy_consumption_through_other_sources_from_renewable_sources,Energy consumption through other sources (C) 0 0,renewable_energy_consumption_absolute,0.573,non_renewable_energy_consumption_absolute,0.508,absolute_energy_consumption,0.470,true,true,true,,Nearest canonical renewable_energy_consumption_absolute passed the semantic gate; alias requires human approval.,standard_mapping_candidate,pending,energy,consumption,consumed,,energy,energy,consumption,consumed,,energy,0.597,0.467,0.617,false
nestle_india_p229_1_fact_23,Total electricity consumption from non-renewable sources (D),total_electricity_consumption_from_non_renewable_sources,"Total electricity consumption (D) 0 8,160",non_renewable_energy_consumption_absolute,0.643,renewable_energy_consumption_absolute,0.585,absolute_energy_consumption,0.487,true,true,true,,Nearest canonical non_renewable_energy_consumption_absolute passed the semantic gate; alias requires human approval.,standard_mapping_candidate,pending,energy,consumption,consumed,,energy,energy,consumption,consumed,,energy,0.653,0.552,0.758,false
nestle_india_p229_1_fact_24,Total electricity consumption from non-renewable sources (D),total_electricity_consumption_from_non_renewable_sources,"Total electricity consumption (D) 0 8,160",non_renewable_energy_consumption_absolute,0.643,renewable_energy_consumption_absolute,0.585,absolute_energy_consumption,0.487,true,true,true,,Nearest canonical non_renewable_energy_consumption_absolute passed the semantic gate; alias requires human approval.,standard_mapping_candidate,pending,energy,consumption,consumed,,energy,energy,consumption,consumed,,energy,0.653,0.552,0.758,false
nestle_india_p229_1_fact_25,Total fuel consumption from non-renewable sources (E),total_fuel_consumption_from_non_renewable_sources,"Total fuel consumption (E) 3,129,350 2,595,546",non_renewable_energy_consumption_absolute,0.585,renewable_energy_consumption_absolute,0.538,absolute_energy_consumption,0.457,true,true,true,,Nearest canonical non_renewable_energy_consumption_absolute passed the semantic gate; alias requires human approval.,standard_mapping_candidate,pending,energy,consumption,consumed,,energy,energy,consumption,consumed,,energy,0.611,0.400,0.773,false
nestle_india_p229_1_fact_26,Total fuel consumption from non-renewable sources (E),total_fuel_consumption_from_non_renewable_sources,"Total fuel consumption (E) 3,129,350 2,595,546",non_renewable_energy_consumption_absolute,0.596,renewable_energy_consumption_absolute,0.550,absolute_energy_consumption,0.437,true,true,true,,Nearest canonical non_renewable_energy_consumption_absolute passed the semantic gate; alias requires human approval.,standard_mapping_candidate,pending,energy,consumption,consumed,,energy,energy,consumption,consumed,,energy,0.627,0.400,0.773,false
nestle_india_p229_1_fact_27,Energy consumption through other sources (F) from non-renewable sources,energy_consumption_through_other_sources_from_non_renewable_sources,Energy consumption through other sources (F) 0 0,non_renewable_energy_consumption_absolute,0.579,renewable_energy_consumption_absolute,0.553,absolute_energy_consumption,0.458,true,true,true,,Nearest canonical non_renewable_energy_consumption_absolute passed the semantic gate; alias requires human approval.,standard_mapping_candidate,pending,energy,consumption,consumed,,energy,energy,consumption,consumed,,energy,0.617,0.438,0.604,false
nestle_india_p230_1_fact_11,Bio-medical waste,bio_medical_waste,Bio-medical waste (C) 0 0,waste_generated,0.561,plastic_waste_collected,0.488,construction_demolition_waste,0.474,true,true,true,,Nearest canonical waste_generated passed the semantic gate; alias requires human approval.,standard_mapping_candidate,pending,waste,generation,output,,weight,waste,generation,output,,weight,0.493,0.345,0.667,false
nestle_india_p230_1_fact_15,Battery waste,battery_waste,Battery waste (E) 22 14,waste_generated,0.615,plastic_waste_collected,0.542,e_waste_generated,0.527,true,false,true,role_mismatch,Nearest canonical waste_generated is not alias-eligible because: role_mismatch.,standard_mapping_candidate,pending,waste,consumption,consumed,,weight,waste,generation,output,,weight,0.545,0.385,0.769,false
nestle_india_p230_1_fact_16,Battery waste,battery_waste,Battery waste (E) 22 14,waste_generated,0.615,plastic_waste_collected,0.542,e_waste_generated,0.527,true,false,true,role_mismatch,Nearest canonical waste_generated is not alias-eligible because: role_mismatch.,standard_mapping_candidate,pending,waste,consumption,consumed,,weight,waste,generation,output,,weight,0.545,0.385,0.769,false
nestle_india_p230_1_fact_17,Radioactive waste,radioactive_waste,Radioactive waste (F) 0 0,waste_generated,0.578,plastic_waste_collected,0.488,construction_demolition_waste,0.469,true,true,true,,Nearest canonical waste_generated passed the semantic gate; alias requires human approval.,standard_mapping_candidate,pending,waste,generation,output,,weight,waste,generation,output,,weight,0.529,0.333,0.611,false
